,distance_to_market___ethiopia_2015,inputs,land_surface___ethiopia_2015,model,number_of_hired_workers___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,prevent_damage___policy___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015
0,-0.20974846481677073,Highly correlated all,0.23207166736302282,Lasso_Highly correlated all,0.23306419460495387,-0.021246351633742822,0.08443504127448523,0.0006828872274028449
1,-0.2548196813139875,Highly correlated all,0.17604083217185468,Lasso_Highly correlated all_lower_bound,0.18728939068675193,-0.0778993663537141,0.03721526553298261,-0.05056293551204386
2,-0.16467724831955394,Highly correlated all,0.28810250255419095,Lasso_Highly correlated all_upper_bound,0.2788389985231558,0.03540666308622846,0.13165481701598786,0.051928709966849555
3,-0.3496433620248821,Highly correlated all,0.0709105774862418,Lasso_clustered_0_lower_bound,0.3096424558990289,-0.21066717595030576,-0.08609680038440201,0.0022303562109002584
4,-0.15550491748356945,Highly correlated all,0.2700671187077913,Lasso_clustered_0_upper_bound,0.7179477521464674,0.09000371968112315,0.12213848402287958,0.2826627702263361
5,-0.24875926470452056,Highly correlated all,0.11776353458592034,Lasso_clustered_1_lower_bound,0.08954346608254246,-0.17220814468655288,-0.10063071370785404,-0.1646171110492016
6,-0.0677291362302451,Highly correlated all,0.47935129306966207,Lasso_clustered_1_upper_bound,0.5617183831340853,0.04273321582266924,0.11426765385785753,0.09539735450647749
7,-0.21487941535453725,Highly correlated all,0.055156184215345655,Lasso_clustered_2_lower_bound,-0.16653445900219316,-0.04497041712422517,0.05400826827232312,-0.18869764024743862
8,-0.06160982173780272,Highly correlated all,0.3286768852089862,Lasso_clustered_2_upper_bound,0.2654464105617867,0.145528126374875,0.19335700557960855,0.02288826190008124
9,-0.41278448140764623,Highly correlated all,-0.1297185932378907,Lasso_clustered_3_lower_bound,0.22255951880293662,-0.1596318053980994,0.04256141028822023,-0.22367358870340892
10,-0.1957661880996964,Highly correlated all,0.2201510213261776,Lasso_clustered_3_upper_bound,0.3476780447964701,0.09012078716039107,0.2790362838545368,0.024657776859564648
11,-0.25257413975422577,Highly correlated all,0.17048884809701656,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_0",0.5137951040227482,-0.0603317281345913,0.018020841819238784,0.14244656321861818
