,average_precipitation___ethiopia_2015,distance_to_market___ethiopia_2015,inputs,land_surface___ethiopia_2015,model,number_of_hired_workers___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,prevent_damage___policy___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015
0,-0.2096861088596056,-0.1704764094216901,Highly correlated all,0.2293233576861903,Lasso_Highly correlated all,0.22578252112536862,-0.020865543466053023,0.05159142008133524,0.018759108884042745
1,-0.254698749497971,-0.21521872716591373,Highly correlated all,0.17469449544331112,Lasso_Highly correlated all_lower_bound,0.18112830467768437,-0.07609785669830148,0.005019072404483807,-0.03135201936200273
2,-0.16467346822124018,-0.12573409167746646,Highly correlated all,0.2839522199290695,Lasso_Highly correlated all_upper_bound,0.27043673757305287,0.03436676976619543,0.09816376775818668,0.06887023713008822
3,-0.2819677935629684,-0.31407865039870275,Highly correlated all,0.06032095167442687,Lasso_clustered_0_lower_bound,0.30871126366812207,-0.1888928496926897,-0.11346840638220097,-0.0176392332557071
4,-0.07641647444605915,-0.11830688625323979,Highly correlated all,0.2570051982864356,Lasso_clustered_0_upper_bound,0.71101300810997,0.10822535606519446,0.09413590857956135,0.25974040876685267
5,-0.20950715673856,-0.22418187053180208,Highly correlated all,0.12277077089352012,Lasso_clustered_1_lower_bound,0.12477835258271272,-0.16355117057319113,-0.11048067751489875,-0.16157209341121098
6,-0.038357218407681554,-0.04132914638110183,Highly correlated all,0.48119909245334763,Lasso_clustered_1_upper_bound,0.5951848048612979,0.049768905272497964,0.10301903664544691,0.09616139458107707
7,-0.3153890767431607,-0.17842089937772615,Highly correlated all,0.09736353406222048,Lasso_clustered_2_lower_bound,-0.1463830660295531,-0.07117609251196666,0.020511562702707875,-0.1507963629661476
8,-0.16464043349751456,-0.02830488844109176,Highly correlated all,0.36348950526421603,Lasso_clustered_2_upper_bound,0.2722651915424906,0.11428473912529277,0.1572877971920152,0.05540649191651976
9,-0.43204214056645895,-0.3564711988794067,Highly correlated all,-0.028007647300615057,Lasso_clustered_3_lower_bound,0.1874430161349807,-0.16453546327722762,-0.044260546589639446,-0.17070576981276017
10,-0.20675341116382717,-0.14940298615358816,Highly correlated all,0.30736174091252255,Lasso_clustered_3_upper_bound,0.30791535674280335,0.07025655433321032,0.18670544051339744,0.06489284200147358
11,-0.17919213400451378,-0.21619276832597129,Highly correlated all,0.15866307498043122,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_0",0.509862135889046,-0.04033374681374763,-0.009666248901319816,0.12105058775557279
12,-0.12393218757312077,-0.13275550845645195,Highly correlated all,0.3019849316734339,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_1",0.3599815787220053,-0.056891132650346586,-0.003730820434725921,-0.03270534941506696
13,-0.24001475512033763,-0.10336289390940895,Highly correlated all,0.23042651966321825,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_2",0.06294106275646875,0.02155432330666305,0.08889967994736153,-0.047694935524813915
14,-0.31939777586514306,-0.25293709251649743,Highly correlated all,0.13967704680595375,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_3",0.24767918643889203,-0.047139454472008645,0.07122244696187899,-0.052906463905643304
15,,,Highly correlated policy,,Lasso_Highly correlated policy,0.27254684894779413,0.0638311058226269,0.08282577615154016,0.06562291770741
16,,,Highly correlated policy,,Lasso_Highly correlated policy_lower_bound,0.22550631049656975,0.012481434971025107,0.033447850383439434,0.013149026491018824
17,,,Highly correlated policy,,Lasso_Highly correlated policy_upper_bound,0.3195873873990185,0.11518077667422869,0.13220370191964087,0.11809680892380117
18,,,Highly correlated policy,,Lasso_clustered_0_lower_bound,0.5181527937012929,-0.09588089716780086,-0.06687255861859226,0.09870012956840138
19,,,Highly correlated policy,,Lasso_clustered_0_upper_bound,0.9216476442330119,0.15863070595774081,0.1504243788714347,0.3792061157246909
20,,,Highly correlated policy,,Lasso_clustered_1_lower_bound,0.12329668826312376,-0.1428079938416541,-0.10882647842114275,-0.24609461286152456
21,,,Highly correlated policy,,Lasso_clustered_1_upper_bound,0.5980736370565326,0.06865622357305244,0.10962805477404074,-4.972946009608459e-05
22,,,Highly correlated policy,,Lasso_clustered_2_lower_bound,-0.20692934737028298,0.007407351479293278,0.04158374089109862,-0.1200723214346569
23,,,Highly correlated policy,,Lasso_clustered_2_upper_bound,0.22920526922137205,0.1797832175431511,0.18345286631128765,0.08592951403302024
24,,,Highly correlated policy,,Lasso_clustered_3_lower_bound,0.23265355357446613,-0.20337945986640343,0.05665877125063598,-0.09978676555862563
25,,,Highly correlated policy,,Lasso_clustered_3_upper_bound,0.340953074834902,0.015285628202299381,0.3075329242824053,0.1470467261176835
26,,,Highly correlated policy,,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_0",0.7199002189671524,0.03137490439496997,0.04177591012642121,0.23895312264654614
27,,,Highly correlated policy,,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_1",0.3606851626598282,-0.03707588513430082,0.00040078817644899,-0.12307217116081033
28,,,Highly correlated policy,,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_2",0.011137960925544525,0.09359528451122219,0.11251830360119314,-0.017071403700818333
