,distance_to_market___ethiopia_2015,has_saved___policy___ethiopia_2015,inputs,land_surface___ethiopia_2015,model,number_of_droughts___ethiopia_2015,number_of_hired_workers___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,prevent_damage___policy___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015,uses_irrigation___policy___ethiopia_2015
0,-0.17562448561224897,0.07224712135219763,Highly correlated all,0.2293366676757249,Lasso_Highly correlated all,0.09101668626954652,0.22388764159281183,-0.017104940659432896,0.030061168364183228,0.08274388030641394,0.00730038963792218,-0.0014938693187453826,0.07434667575006873
1,-0.22154693403882078,0.027007316896350407,Highly correlated all,0.1732395330724265,Lasso_Highly correlated all_lower_bound,0.04568975096267083,0.1781283821151915,-0.07564702636342388,-0.020970718414614762,0.035958530092903486,-0.05512870422790087,-0.0602869620556028,0.029199601835241604
2,-0.12970203718567716,0.11748692580804485,Highly correlated all,0.28543380227902326,Lasso_Highly correlated all_upper_bound,0.1363436215764222,0.26964690107043215,0.04143714504455808,0.08109305514298122,0.1295292305199244,0.06972948350374523,0.05729922341811204,0.11949374966489586
3,-0.3269075896391084,-0.05067947468930872,Highly correlated all,0.06133615055305548,Lasso_clustered_0_lower_bound,0.06067092945305126,0.3094627408144798,-0.217587766220535,-0.0370425930273979,-0.10066080279659029,0.022451106173547425,-0.26779771662741736,0.009267914763628732
4,-0.13265299992846605,0.13523825859270228,Highly correlated all,0.2574813342014454,Lasso_clustered_0_upper_bound,0.2622994908668144,0.7092678422921358,0.10154308253080402,0.19623349205348536,0.10406979954019774,0.3739044053935633,0.011721337918184888,0.18152694755177654
5,-0.23579175035006,-0.11905015413683676,Highly correlated all,0.11762983473301122,Lasso_clustered_1_lower_bound,-0.0198808690558175,0.050874757360900524,-0.15674075514136016,-0.17654001215439652,-0.0978546731739145,-0.20241771618120294,-0.10481947233919076,-0.05182426432473596
6,-0.04864631984809986,0.08663180299144035,Highly correlated all,0.4807825158949871,Lasso_clustered_1_upper_bound,0.1261383628681475,0.5554565990694177,0.0764435910908996,0.04557297028048779,0.11849887282344854,0.10125884117847525,0.20480089802478624,0.09753338083446128
7,-0.17637713892414147,0.05828341898428663,Highly correlated all,0.06775961407180978,Lasso_clustered_2_lower_bound,-0.026201738836073386,-0.11934997321246471,-0.04491341481282394,-0.023494438631625467,0.05506247531719348,-0.17759883566180923,-0.07629686503783792,-0.030716803520207017
8,-0.0189813826361344,0.2149604283886341,Highly correlated all,0.34559762837143526,Lasso_clustered_2_upper_bound,0.1494404311343778,0.33429841490821693,0.1465768381007232,0.15261156118902275,0.19296188594170005,0.039541121059585474,0.09936115982879754,0.1768648022311134
9,-0.3547409178203892,-0.005925653188279589,Highly correlated all,-0.10606800623898466,Lasso_clustered_3_lower_bound,-0.012482040010951129,0.20326000168896738,-0.14933572919959848,-0.06111941875282018,0.002942811900045403,-0.1981067742954266,-0.19536617394500894,0.021643365842478376
10,-0.1274985604610165,0.17338856840510974,Highly correlated all,0.24387139094954885,Lasso_clustered_3_upper_bound,0.2564773362364182,0.3325038133947652,0.10366700837950943,0.1430330295429659,0.24372726113683235,0.09520566827354499,0.08595992322018502,0.2601490522528152
11,-0.22978029478378723,0.042279391951696776,Highly correlated all,0.15940874237725045,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_0",0.16148521015993283,0.5093652915533078,-0.058022341844865495,0.07959544951304373,0.001704498371803722,0.19817775578355534,-0.12803818935461625,0.09539743115770263
12,-0.14221903509907993,-0.016209175572698194,Highly correlated all,0.2992061753139992,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_1",0.05312874690616501,0.3031656782151591,-0.040148582025230285,-0.06548352093695436,0.010322099824767023,-0.05057943750136384,0.04999071284279774,0.022854558254862663
13,-0.09767926078013794,0.13662192368646037,Highly correlated all,0.2066786212216225,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_2",0.0616193461491522,0.10747422084787611,0.050831711643949624,0.06455856127869863,0.12401218062944677,-0.06902885730111188,0.011532147395479812,0.07307399935545318
