,distance_to_market___ethiopia_2015,distance_to_population_center___ethiopia_2015,has_saved___policy___ethiopia_2015,household_head_is_widowed___ethiopia_2015,inputs,land_surface___ethiopia_2015,literacy___ethiopia_2015,model,number_of_droughts___ethiopia_2015,number_of_hired_workers___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,number_of_water_storage_pit_owned___policy___ethiopia_2015,prevent_damage___policy___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015,uses_irrigation___policy___ethiopia_2015
0,-0.14112977374419755,-0.06793719427769153,0.06870560799160283,-0.04883444621215768,Highly correlated all,0.23374604985061215,0.04069313844185184,Lasso_Highly correlated all,0.08855764682882056,0.21794548953817747,-0.0210447829688921,0.0411949229900446,0.044543412177653445,0.07442904335891366,-0.004162629968948473,-0.00417831192263923,0.07894274072853699
1,-0.19569684612447302,-0.12390314031347388,0.023628132932654672,-0.09477709659720683,Highly correlated all,0.17598048940743186,-0.0053776761870239775,Lasso_Highly correlated all_lower_bound,0.04326305674329926,0.17215207376142486,-0.07952077984574492,-0.01167423122789138,-0.0008597898517323996,0.027688844311432266,-0.06688305244934382,-0.06274284062993032,0.03379366901434802
2,-0.08656270136392206,-0.01197124824190917,0.11378308305055099,-0.002891795827108523,Highly correlated all,0.29151161029379247,0.08676395307072765,Lasso_Highly correlated all_upper_bound,0.13385223691434187,0.26373890531493005,0.037431213907960725,0.09406407720798057,0.08994661420703928,0.12116924240639507,0.058557792511446875,0.05438621678465186,0.12409181244272596
3,-0.33374295216407196,-0.12541492654013717,-0.07637692084970207,-0.12159759259926976,Highly correlated all,0.0645755939404151,0.05174200743083415,Lasso_clustered_0_lower_bound,0.06978258492709526,0.2980018457443825,-0.23019162259971326,-0.03729135746400304,-0.007045343575092872,-0.10502832638571302,-0.004792808063585369,-0.26319791626479627,0.005549521762167192
4,-0.11506614903006455,0.09049339578160032,0.10754912282370457,0.03133070129625522,Highly correlated all,0.2584304844925761,0.24467881716032255,Lasso_clustered_0_upper_bound,0.2693081328010772,0.6955682030835777,0.0892372851456788,0.19245774707805707,0.24987063273664797,0.09601095553876565,0.3422934417710153,0.010993334310848313,0.1770240898206203
5,-0.16630141023580366,-0.3148588964148241,-0.11181157976700001,-0.1385459191320673,Highly correlated all,0.1791429705901466,-0.13893218408764518,Lasso_clustered_1_lower_bound,-0.025084241929094052,0.02659808026080157,-0.15096304657744536,-0.15167136960096822,-0.05030779939348813,-0.09062952243311892,-0.22932874283039129,-0.08635892004865581,-0.03444527507465106
6,0.05184798385980497,-0.08836014067126127,0.09029386487165994,0.09425572521736778,Highly correlated all,0.5430340107871767,0.055472406315186865,Lasso_clustered_1_upper_bound,0.11817105066045,0.5186502461589988,0.0763445447564734,0.07527703624127405,0.15886490216442462,0.12271672454137214,0.06520776725574379,0.21228507949218706,0.11463222039956802
7,-0.20304725201299115,-0.06239191327466081,0.05341910284906823,-0.16773573795229577,Highly correlated all,0.04652694129428153,-0.086196894116505,Lasso_clustered_2_lower_bound,-0.027802862283708416,-0.1052947856656972,-0.05107701735574412,-0.03866305686338073,-0.06774545347009782,0.05981918344969964,-0.15641719243107222,-0.08440339676457809,-0.03356400918279852
8,-0.016577166373707847,0.13810462895088574,0.21157499165145718,-0.006143008110032239,Highly correlated all,0.3354406543590812,0.069531612990553,Lasso_clustered_2_upper_bound,0.15030483098290504,0.3532469299430383,0.14399421752856106,0.15002561206853307,0.07121876202027662,0.20030216074696225,0.06451397271295073,0.0929518391197473,0.17567623302950308
9,-0.3526214172910197,-0.17425531089540708,-0.011537853117178379,-0.12794354464010252,Highly correlated all,-0.11118280980543399,-0.04257842028248773,Lasso_clustered_3_lower_bound,-0.012836431799820747,0.18884819167040795,-0.15316184187615717,-0.04060715412809274,-0.01690828706947614,-0.014010265282957443,-0.1998858058341495,-0.19983082170624733,0.027650938211326123
10,-0.059005473760089605,0.10659331033419757,0.16954260524414938,0.13537689328841693,Highly correlated all,0.2516286628689436,0.1687950281354831,Lasso_clustered_3_upper_bound,0.26737179809113576,0.32137261414353463,0.10276693539432835,0.1781162757600041,0.16595411212667796,0.22926149501934762,0.09996682805302992,0.08532510366023577,0.268291907974072
11,-0.22440455059706826,-0.017460765379268432,0.015586100987001247,-0.04513344565150727,Highly correlated all,0.16150303921649561,0.14821041229557835,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_0",0.16954535886408623,0.4967850244139801,-0.07047716872701723,0.07758319480702702,0.12141264458077755,-0.004508685423473685,0.16875031685371497,-0.12610229097697398,0.09128680579139374
12,-0.057226713187999344,-0.2016095185430427,-0.010758857447670037,-0.02214509695734975,Highly correlated all,0.36108849068866167,-0.04172988888622915,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_1",0.04654340436567798,0.2726241632099002,-0.03730925091048599,-0.038197166679847086,0.05427855138546825,0.016043601054126607,-0.08206048778732375,0.06296307972176562,0.04009347266245848
13,-0.1098122091933495,0.03785635783811247,0.1324970472502627,-0.086939373031164,Highly correlated all,0.19098379782668137,-0.008332640562976,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_2",0.06125098434959832,0.12397607213867057,0.046458600086408466,0.05568127760257617,0.001736654275089405,0.13006067209833094,-0.04595160985906074,0.004274221177584615,0.07105611192335227
14,-0.20581344552555464,-0.03383100028060475,0.0790023760634855,0.003716674324157211,Highly correlated all,0.0702229265317548,0.06310830392649769,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_3",0.1272676831456575,0.2551104029069713,-0.0251974532409144,0.06875456081595568,0.07452291252860091,0.10762561486819508,-0.04995948889055979,-0.057252859023005774,0.14797142309269906
15,,,0.0794623146784397,,Highly correlated policy,,,Lasso_Highly correlated policy,,0.2547277677480742,0.045662484881292986,0.0878454823242168,0.06166258461418942,0.07982695095282888,0.05242505406420693,-0.0028613023798380634,0.11306449988410992
