,distance_to_market___ethiopia_2015,inputs,land_surface___ethiopia_2015,model,number_of_hired_workers___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,prevent_damage___policy___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015
0,-0.20974846481677073,Highly correlated all,0.23207166736302282,Lasso_Highly correlated all,0.23306419460495387,-0.021246351633742822,0.08443504127448523,0.0006828872274028449
1,-0.2548196813139875,Highly correlated all,0.17604083217185468,Lasso_Highly correlated all_lower_bound,0.18728939068675193,-0.0778993663537141,0.03721526553298261,-0.05056293551204386
2,-0.16467724831955394,Highly correlated all,0.28810250255419095,Lasso_Highly correlated all_upper_bound,0.2788389985231558,0.03540666308622846,0.13165481701598786,0.051928709966849555
3,-0.3496433620248821,Highly correlated all,0.0709105774862418,Lasso_clustered_0_lower_bound,0.3096424558990289,-0.21066717595030576,-0.08609680038440201,0.0022303562109002584
4,-0.15550491748356945,Highly correlated all,0.2700671187077913,Lasso_clustered_0_upper_bound,0.7179477521464674,0.09000371968112315,0.12213848402287958,0.2826627702263361
5,-0.26132069982344086,Highly correlated all,0.1234240539360705,Lasso_clustered_1_lower_bound,0.09846930596383746,-0.1581929102125898,-0.09250050815155286,-0.17426339204411756
6,-0.08096859355775024,Highly correlated all,0.4799923623530846,Lasso_clustered_1_upper_bound,0.5608463114116893,0.05359083319608715,0.12019186166387508,0.08120193633669437
7,-0.2043325041300349,Highly correlated all,0.04455880310904867,Lasso_clustered_2_lower_bound,-0.1548155527372076,-0.05115043966884998,0.05025303575510613,-0.17187633849935036
8,-0.050738090514962544,Highly correlated all,0.32090129962820024,Lasso_clustered_2_upper_bound,0.2804620507170236,0.14155390930087947,0.19055017672540886,0.04011384438417766
9,-0.41290856167684353,Highly correlated all,-0.13014844636571868,Lasso_clustered_3_lower_bound,0.22247964796105363,-0.16059347982857178,0.04197364907401292,-0.22386712018905405
10,-0.19516688830216358,Highly correlated all,0.22050053838992542,Lasso_clustered_3_upper_bound,0.34793154470928717,0.09029334549750903,0.27917299620759295,0.025716394151542726
11,-0.25257413975422577,Highly correlated all,0.17048884809701656,"Lasso_clustered_number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015_0",0.5137951040227482,-0.0603317281345913,0.018020841819238784,0.14244656321861818
