,has_saved___policy___ethiopia_2015,household_head_is_widowed___ethiopia_2015,inputs,land_surface___ethiopia_2015,literacy___ethiopia_2015,model,number_of_droughts___ethiopia_2015,number_of_hired_workers___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,number_of_water_storage_pit_owned___policy___ethiopia_2015,prevent_damage___policy___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,uses_irrigation___policy___ethiopia_2015
0,0.0787677828298842,-0.04767131686876303,Highly correlated all,0.21305803798707254,0.04584877871875885,Lasso_Highly correlated all,0.12418313695686986,0.2211294001291531,,0.03358695376493784,0.07419212850380234,0.03200742396634715,0.09630045396545246
1,0.03325609879561027,-0.09422303586161421,Highly correlated all,0.16315137914853017,-0.0009605361725706571,Lasso_Highly correlated all_lower_bound,0.07888873590669152,0.17456299530309832,,-0.01125108549785913,0.02697091638719242,-0.017962559083444726,0.05099575076199273
2,0.12427946686415813,-0.0011195978759118638,Highly correlated all,0.2629646968256149,0.09265809361008837,Lasso_Highly correlated all_upper_bound,0.1694775380070482,0.2676958049552079,,0.07842499302773481,0.12141334062041226,0.08197740701613902,0.1416051571689122
3,-0.0676713152298492,-0.11857581860941224,Highly correlated all,0.051351989470097684,0.0567869231511685,Lasso_clustered_0_lower_bound,0.11031252348776781,0.3944780728771484,,-0.028764978959254672,-0.08973238429199129,-0.03458970070225252,0.012016936084669194
4,0.11921542339124844,0.03654202041771659,Highly correlated all,0.2158789526468724,0.25289453090233943,Lasso_clustered_0_upper_bound,0.31269823507910616,0.7910178982122884,,0.23282039195270848,0.11619217812335594,0.24216742982128775,0.1859482922205311
5,-0.12818716311142092,-0.15064520130817194,Highly correlated all,0.09002628956615935,-0.10669090342611569,Lasso_clustered_1_lower_bound,-0.007990397389717241,0.136558841511158,,-0.07329822653522709,-0.10854691240123367,-0.1742736727858928,-0.024082511712349736
6,0.08012133045515654,0.08559723209852625,Highly correlated all,0.45066524400763874,0.09352131348126567,Lasso_clustered_1_upper_bound,0.1389836933016832,0.6203097599417722,,0.13313953252471705,0.11092409128780405,0.08422417193497081,0.12435534395388576
7,0.06423074508087034,-0.15709077051971465,Highly correlated all,0.1381963335294794,-0.08400783897385662,Lasso_clustered_2_lower_bound,0.0031771821200336503,-0.1535635030774066,,-0.08033668340463904,0.06058884322629622,-0.1531171447536038,-0.013704362109804177
8,0.2195637632979875,0.0047134695405353505,Highly correlated all,0.38480677608692265,0.07001979098242618,Lasso_clustered_2_upper_bound,0.17554676925170662,0.2717277981734476,,0.05118831893194348,0.198282054996681,0.05831157991699757,0.19328420056915246
9,-0.009992980088237333,-0.13195281072704418,Highly correlated all,-0.1395731645272648,-0.04503715856630926,Lasso_clustered_3_lower_bound,0.06118575859372502,0.1892329076660862,,-0.013926338478793085,-0.024769504353178276,-0.10560379187217642,0.05791874738053221
